tagid;cluster
4797;1
4798;1
4799;1
4800;5
4801;3
4802;1
4803;4
4804;0
4805;1
4806;0
4807;5
4808;5
4809;0
4810;2
4811;4
4812;0
4813;4
4814;4
4815;2
4816;3
4817;5
4818;4
4819;1
4820;5
4857;0
10892;1
10893;0
10894;5
10895;4
10896;1
10897;2
10898;3
10899;2
10900;1
10901;4
10902;3
10903;2
10904;3
10905;0
10906;1
10907;4
10908;5
10909;5
10910;0
10911;3
10912;5
10913;4
10914;2
10915;4
10916;0
11124;3
11125;2
11126;1
11127;1
11128;2
11129;2
11130;2
11131;4
11132;2
11133;6
11134;0
11135;5
11136;3
11137;5
11138;4
11139;4
11140;3
11141;4
11142;6
11143;4
11144;0
11145;4
11146;3
11147;6
11148;6
15282;5
15283;0
15284;0
15285;3
15286;1
15287;2
15288;2
15289;6
15290;6
15291;0
15292;1
15293;7
15294;2
15295;3
15296;5
15297;5
15298;6
15299;0
15300;4
15301;7
15302;4
15303;7
15304;7
15305;4
15306;1
24817;0
24818;0
24819;1
24820;5
24821;1
24822;5
24823;3
24824;2
24825;1
24826;4
24827;3
24828;4
24829;5
24830;3
24831;3
24832;3
24833;2
24834;3
24835;5
24836;4
24837;2
24838;2
24839;2
24840;5
24841;1
35222;2
35223;3
35224;5
35225;2
35226;0
35227;0
35228;0
35229;2
35230;0
35231;1
35232;3
35233;3
35234;3
35235;4
35236;4
35237;0
35238;1
35239;4
35240;3
35241;5
35242;2
35243;1
35244;5
35245;5
35247;5
35724;2
35725;0
35726;1
35727;4
35728;2
35729;2
35730;0
35731;1
35732;1
35733;2
35734;1
35735;3
35736;3
35737;5
35738;2
35739;5
35740;0
35741;4
35742;4
35743;5
35744;1
35745;3
35746;1
35747;0
35748;3
39807;0
39808;2
39809;3
39810;3
39811;1
39812;1
39813;2
39814;0
39815;1
39816;2
39817;0
39818;6
39819;2
39820;3
39821;4
39822;7
39823;3
39824;7
39825;5
39826;4
39827;5
39828;5
39829;6
39830;6
39831;0
47520;2
47521;0
47522;3
47523;4
47524;0
47525;0
47526;2
47527;5
47528;1
47529;5
47530;2
47531;2
47532;5
47533;4
47534;4
47535;2
47536;5
47537;2
47538;4
47539;3
47540;5
47541;1
47542;2
47543;4
47594;1
47823;5
47824;0
47825;1
47826;5
47827;2
47828;2
47829;0
47830;1
47831;3
47832;2
47833;1
47834;1
47835;3
47836;4
47837;1
47838;4
47839;2
47840;0
47841;3
47842;0
47843;1
47844;3
47845;4
47846;3
47847;2
49858;2
49859;5
49860;4
49861;0
49862;5
49863;3
49864;2
49865;4
49866;4
49867;5
49868;5
49869;4
49870;3
49871;3
49872;0
49873;3
49874;1
49875;1
49876;1
49877;4
49878;3
49879;5
49880;0
49881;4
49882;3
63390;5
63391;1
63392;2
63393;0
63394;6
63420;1
63421;2
63422;5
63423;6
63424;3
63425;2
63426;2
63427;3
63428;1
63429;3
63430;4
63431;3
63432;4
63433;1
63434;5
63435;4
63436;5
63437;6
63438;6
63439;0
96972;0
96973;1
96974;1
96975;1
96976;3
96977;2
96978;1
96979;6
96980;3
96981;5
96982;3
96983;4
96984;4
96985;3
96986;0
96987;6
96988;5
96989;5
96990;3
96991;2
96992;5
96993;2
96994;2
96995;2
96996;5
100804;0
100805;1
100806;2
100807;3
100808;1
100809;1
100810;3
100811;3
100812;3
100813;1
100814;5
100815;0
100816;4
100817;2
100818;5
100819;0
100820;1
100821;1
100822;3
100823;4
100824;4
100825;0
100826;0
100827;5
100828;3
116735;3
116736;4
116737;0
116738;4
116739;1
116740;2
116741;4
116742;3
116743;0
116744;1
116773;2
116774;1
116775;2
116776;1
116777;4
116778;0
116779;2
116780;1
116781;3
116782;3
116783;0
116784;0
116785;0
116786;3
116787;3
122541;0
122542;4
122543;0
122544;1
122545;2
122546;3
122547;4
122548;2
122549;4
122551;1
122552;2
122553;5
122554;3
122555;5
122556;3
122557;4
122558;0
122559;1
122560;1
122561;1
122562;0
122563;0
122564;0
122565;5
122566;5
122707;1
122708;6
122709;0
122710;2
122711;2
122712;3
122713;3
122714;1
122715;4
122716;2
122717;2
122718;0
122719;4
122720;5
122721;4
122722;0
122723;2
122724;1
122725;5
122726;6
122727;4
122728;5
122729;2
122730;6
122731;3
132651;0
132652;1
132653;2
132654;3
132655;0
132656;2
132657;1
132658;0
132659;0
132660;4
132661;2
132662;2
132663;5
132664;4
132665;4
132666;5
132667;5
132668;0
132669;1
132670;5
132671;3
132672;5
132673;1
132674;5
132675;5
142440;0
142441;4
142442;4
142443;4
142444;1
142445;4
142446;2
142447;3
142448;3
142449;1
142450;1
142451;4
142452;4
142453;0
142454;1
142455;2
142456;3
142457;3
142458;0
142459;3
142460;3
142461;3
142462;0
142463;2
142477;0
150881;0
150907;1
150908;4
150909;2
150910;6
150911;1
150912;0
150913;0
150914;2
150915;3
150916;2
150917;3
150918;2
150919;6
150920;2
150921;1
150922;3
150923;6
150924;5
150925;4
150926;1
150927;4
150928;5
150929;6
150930;0
